Location,Time,Sex,Per_Hour_Coded,Per_Month_Coded,Mean Speed (m/min),Pedestrian Density (Peds/m2),Pedestrian Flow (peds/m/min)
Bombo,AM,M,Hour 2,Month 3,86.54664896,1.960807132,58.17669642
Bombo,AM,M,Hour 2,Month 3,85.86745746,2.201470946,47.20604343
Bombo,AM,M,Hour 3,Month 1,91.67478355,1.727669884,40.01915278
Bombo,AM,M,Hour 1,Month 2,88.03512271,1.887787795,33.33393351
Bombo,AM,M,Hour 1,Month 2,76.38958628,3.333170118,37.81638295
Bombo,AM,M,Hour 2,Month 1,99.49088517,1.089190118,55.02398196
Bombo,AM,M,Hour 2,Month 3,95.50452046,1.508116797,40.18167432
Bombo,AM,M,Hour 3,Month 1,93.85805122,1.356553928,63.07192421
Bombo,AM,M,Hour 2,Month 1,114.4812761,0.441473495,30.9065455
Bombo,AM,M,Hour 2,Month 3,71.74028525,3.351952861,63.9475377
Bombo,AM,M,Hour 1,Month 3,89.35728571,1.914470921,41.70622416
Bombo,AM,M,Hour 2,Month 3,74.33285783,3.139612199,45.0521725
Bombo,AM,M,Hour 2,Month 1,87.89467365,1.93356971,44.68870165
Bombo,AM,M,Hour 2,Month 1,56.06336539,4.836289403,48.78950788
Bombo,AM,M,Hour 1,Month 3,79.36678367,2.77942053,45.65076353
Bombo,AM,M,Hour 1,Month 3,88.42246567,2.097500742,49.14163562
Bombo,AM,M,Hour 1,Month 3,90.79731313,1.536249673,51.44437838
Bombo,AM,M,Hour 1,Month 3,90.21735753,2.102738374,31.48430202
Bombo,AM,M,Hour 2,Month 3,83.5431254,2.423852204,36.91009085
Bombo,AM,M,Hour 1,Month 2,91.14373702,1.752729108,25.07618457
Bombo,AM,M,Hour 1,Month 2,92.19211948,1.724963893,43.2173084
Bombo,AM,M,Hour 1,Month 2,89.74514176,1.753471603,47.932463
Bombo,AM,M,Hour 1,Month 2,99.53284102,1.28724299,54.0129103
Bombo,AM,M,Hour 1,Month 2,78.63775433,2.368592608,39.67315339
Bombo,AM,M,Hour 1,Month 2,92.19556011,2.186513821,38.295791
Bombo,AM,M,Hour 2,Month 1,87.5363692,2.01928967,46.98690786
Bombo,AM,M,Hour 1,Month 3,94.68620871,1.343672524,42.94553018
Bombo,AM,M,Hour 3,Month 1,71.07617735,3.224049053,43.51408584
Bombo,AM,M,Hour 3,Month 1,97.98283059,1.229321984,63.17044167
Bombo,AM,M,Hour 3,Month 1,86.54784503,1.884305366,48.61717511
Bombo,AM,M,Hour 3,Month 1,83.06469898,2.349221444,42.8703289
Bombo,AM,M,Hour 1,Month 3,96.18314156,1.129737204,41.46503066
Bombo,AM,M,Hour 3,Month 1,88.5403154,2.256473158,47.42116407
Bombo,AM,M,Hour 1,Month 2,61.3625252,4.06409955,20.11734355
Bombo,AM,M,Hour 2,Month 3,85.13881641,2.140276437,46.31380542
Bombo,AM,M,Hour 3,Month 1,90.1965524,1.328937034,34.13065005
Bombo,AM,M,Hour 3,Month 1,75.20300135,3.492602689,41.70355589
Bombo,AM,M,Hour 2,Month 1,97.25797637,1.571073821,40.27129502
Bombo,AM,M,Hour 1,Month 3,91.65509274,1.758325885,34.41896568
Bombo,AM,M,Hour 2,Month 3,77.29656017,3.165019914,42.16474515
Bombo,AM,M,Hour 2,Month 1,85.9756129,2.172210815,41.79630989
Bombo,AM,M,Hour 1,Month 2,87.54814762,2.046568836,37.75601024
Bombo,AM,M,Hour 3,Month 1,72.68837631,3.251635975,47.72282705
Bombo,AM,M,Hour 2,Month 1,69.72965259,3.729584197,41.17870656
Bombo,AM,M,Hour 3,Month 1,88.50712636,1.988070778,51.22487741
Bombo,AM,M,Hour 2,Month 3,92.10965453,1.436930276,31.11575471
Bombo,AM,M,Hour 1,Month 2,74.0399158,3.156239289,29.34704238
Bombo,AM,M,Hour 1,Month 2,91.84389549,1.445953998,46.32006978
Bombo,AM,M,Hour 3,Month 1,84.61732814,2.255042419,54.85940942
Bombo,AM,M,Hour 1,Month 2,78.76854409,2.991179273,47.60640063
Bombo,AM,M,Hour 1,Month 2,78.13821618,2.989647972,42.17253957
Bombo,AM,M,Hour 2,Month 3,98.6436029,1.09931689,44.32797418
Bombo,AM,M,Hour 1,Month 2,111.295671,0.079534227,64.04046073
Bombo,AM,M,Hour 1,Month 3,100.658762,1.100109106,25.11240406
Bombo,AM,M,Hour 1,Month 2,104.6721303,0.57297574,46.27729591
Bombo,AM,M,Hour 2,Month 3,95.80073765,1.422925852,41.01354813
Bombo,AM,M,Hour 3,Month 1,79.66125354,2.855299042,42.53284996
Bombo,AM,M,Hour 2,Month 3,53.00305545,4.927531462,34.63368843
Bombo,AM,M,Hour 1,Month 3,84.43375156,2.498207027,30.98654116
Bombo,AM,M,Hour 2,Month 3,79.89593479,2.790604187,60.01793338
Bombo,AM,M,Hour 2,Month 1,100.1043186,0.792642511,33.56132583
Bombo,AM,M,Hour 1,Month 2,72.59558592,3.547003858,41.43507696
Bombo,AM,M,Hour 1,Month 3,73.25884855,3.343976776,30.48695768
Bombo,AM,M,Hour 1,Month 2,81.88860261,2.953000314,36.72939412
Bombo,AM,M,Hour 1,Month 3,73.95064824,3.272968257,42.1444159
Bombo,AM,M,Hour 3,Month 1,85.6648699,2.413070382,47.83967233
Bombo,AM,M,Hour 1,Month 2,72.49292412,3.412002781,45.85687177
Bombo,AM,M,Hour 1,Month 2,92.88352379,1.380384341,65.02866836
Bombo,AM,M,Hour 2,Month 1,82.01343129,2.630553747,39.85295617
Bombo,AM,M,Hour 1,Month 3,78.96964775,2.568529851,49.15159232
Bombo,AM,M,Hour 1,Month 3,97.72999397,1.180032823,56.52994444
Bombo,AM,M,Hour 1,Month 2,75.91579654,3.035420334,40.17279541
Bombo,AM,M,Hour 2,Month 3,93.72010589,1.214544862,35.81905521
Bombo,AM,M,Hour 3,Month 1,77.91011342,2.608529748,42.8607609
Bombo,AM,M,Hour 2,Month 3,75.92908407,3.010087629,38.26673099
Bombo,AM,M,Hour 1,Month 3,72.49784608,3.349044681,23.63262421
Bombo,AM,M,Hour 1,Month 2,80.92628003,2.879043152,37.25171031
Bombo,AM,M,Hour 2,Month 1,83.03598998,2.910790883,46.89892331
Bombo,AM,M,Hour 1,Month 2,92.54169206,1.722308386,45.20759252
Bombo,AM,M,Hour 2,Month 3,79.65670151,2.806948136,29.70830102
Bombo,AM,M,Hour 3,Month 1,95.28345273,1.733564969,21.77638623
Bombo,AM,M,Hour 1,Month 2,81.17090521,3.029096286,58.66137142
Bombo,AM,M,Hour 2,Month 1,80.57519945,3.198250383,47.65032763
Bombo,AM,M,Hour 2,Month 1,98.94707913,1.121368987,31.6935749
Bombo,AM,M,Hour 1,Month 3,93.97944685,1.457866641,31.69172142
Bombo,AM,M,Hour 2,Month 1,70.53136303,3.750333067,31.97237284
Bombo,AM,M,Hour 2,Month 1,80.84361695,2.539719002,47.04880107
Bombo,AM,M,Hour 1,Month 2,90.32490771,1.680669947,37.46608005
Bombo,AM,M,Hour 2,Month 3,94.96934171,1.62807838,49.36784199
Bombo,AM,M,Hour 3,Month 1,86.90976138,2.187702326,60.26263164
Bombo,AM,M,Hour 2,Month 3,64.02209058,4.180768081,36.11705011
Bombo,AM,M,Hour 2,Month 3,78.20007351,2.661014918,37.62459014
Bombo,AM,M,Hour 2,Month 1,73.15329616,3.251323562,26.81318371
Bombo,AM,M,Hour 1,Month 2,81.50523396,2.469798683,42.50107972
Bombo,AM,M,Hour 2,Month 1,90.10560171,1.793662593,45.79187454
Bombo,AM,M,Hour 3,Month 1,87.81161383,1.816528217,36.1247588
Bombo,AM,M,Hour 2,Month 1,80.03112351,2.726145879,13.81307531
Bombo,AM,M,Hour 1,Month 2,86.51128204,2.35038693,32.9942866
Bombo,AM,M,Hour 3,Month 1,89.99248195,1.873055477,54.25385223
Bombo,AM,M,Hour 1,Month 2,91.10501804,2.386927167,41.82736227
Bombo,AM,M,Hour 1,Month 2,64.68789753,4.090366278,37.05526217
Bombo,AM,M,Hour 1,Month 2,107.5052471,0.387839668,57.09276439
Bombo,AM,M,Hour 2,Month 1,74.49743633,2.867424395,36.32680139
Bombo,AM,M,Hour 2,Month 1,51.64311489,5.221614375,36.37776644
Bombo,AM,M,Hour 1,Month 2,96.03227845,1.262790303,44.40103424
Bombo,AM,M,Hour 1,Month 3,77.12167325,2.733873854,43.84854237
Bombo,AM,M,Hour 3,Month 1,94.84901635,1.656321461,34.19819424
Bombo,AM,M,Hour 1,Month 2,77.8654673,2.794950027,35.50859131
Bombo,AM,M,Hour 1,Month 3,71.67467467,3.368470257,36.80433501
Bombo,AM,M,Hour 3,Month 1,104.9642046,0.647427513,52.22875268
Bombo,AM,M,Hour 1,Month 2,78.55035984,3.011586249,49.11290563
Bombo,AM,M,Hour 1,Month 2,86.39758791,2.371560293,60.61601542
Bombo,AM,M,Hour 2,Month 3,79.27419381,2.836874534,54.37194141
Bombo,AM,M,Hour 1,Month 3,80.39002224,2.441295132,39.87056678
Bombo,AM,M,Hour 2,Month 1,67.56196394,3.994707729,44.99768907
Bombo,AM,M,Hour 2,Month 1,85.7018222,2.126264012,43.30171555
Bombo,AM,M,Hour 1,Month 2,89.46161655,1.866674996,51.45080406
Bombo,AM,M,Hour 1,Month 2,69.72272794,3.625746022,31.48743321
Bombo,AM,M,Hour 1,Month 3,96.95657252,1.024092508,38.26963773
Bombo,AM,M,Hour 1,Month 2,83.18820416,2.476950427,48.35824215
Bombo,AM,M,Hour 2,Month 1,84.99316799,2.236057581,46.88662331
Bombo,AM,M,Hour 1,Month 3,88.29016546,1.964533556,41.22717019
Bombo,AM,M,Hour 2,Month 3,71.53702531,3.261098332,25.90399645
Bombo,AM,M,Hour 3,Month 1,93.95393937,1.430753986,55.10612681
Bombo,AM,M,Hour 2,Month 3,74.55731811,3.165017396,39.18619189
Bombo,AM,M,Hour 2,Month 3,72.63797955,3.479624695,56.32244754
Bombo,AM,M,Hour 2,Month 1,70.50447098,3.80215234,27.73598493
Bombo,AM,M,Hour 3,Month 1,81.1395026,2.512963232,29.81108713
Bombo,AM,M,Hour 2,Month 1,79.07932335,2.716914732,24.74268435
Bombo,AM,M,Hour 2,Month 3,84.71304974,2.609398846,52.11067056
Bombo,AM,M,Hour 1,Month 2,77.42034506,3.165452544,37.39524211
Bombo,AM,M,Hour 3,Month 1,70.26868645,3.472558672,40.07622763
Bombo,AM,M,Hour 3,Month 1,92.54323657,1.288746369,21.26574375
Bombo,AM,M,Hour 1,Month 2,86.39755855,2.227831908,51.44595076
Bombo,AM,M,Hour 3,Month 1,78.90101088,2.913701261,47.1470977
Bombo,AM,M,Hour 2,Month 3,93.33787168,1.298605768,50.97426806
Bombo,AM,M,Hour 3,Month 1,76.19951252,3.179624562,40.85916248
Bombo,AM,M,Hour 1,Month 3,83.37395204,2.423333051,35.99884794
Bombo,AM,M,Hour 1,Month 2,89.30663455,1.442393283,48.58733981
Bombo,AM,M,Hour 1,Month 2,86.21792999,2.424960723,46.42938983
Bombo,AM,M,Hour 1,Month 3,86.85254598,2.27836944,34.59440962
Bombo,AM,M,Hour 3,Month 1,91.7599115,1.332873663,36.25546794
Bombo,AM,M,Hour 1,Month 2,97.32162913,1.085817236,19.098058
Bombo,AM,M,Hour 2,Month 3,88.58327297,2.06157204,51.40808116
Bombo,AM,M,Hour 2,Month 1,77.2911479,2.887252871,59.42785383
Bombo,AM,M,Hour 1,Month 2,99.1391361,1.166961336,42.11167211
Bombo,AM,M,Hour 1,Month 2,81.06935202,2.449816532,41.81645753
Bombo,AM,M,Hour 2,Month 3,75.08583982,3.471187805,51.10975267
Bombo,AM,M,Hour 3,Month 1,68.27973366,3.504684619,28.91691056
Bombo,AM,M,Hour 2,Month 1,79.51717018,2.643366568,26.68176733
Bombo,AM,M,Hour 2,Month 3,86.82133961,2.30788684,39.04479786
Bombo,AM,M,Hour 1,Month 2,92.71988698,1.782438134,32.06497897
Bombo,AM,M,Hour 2,Month 1,78.83952476,2.831614688,67.39818989
Bombo,AM,M,Hour 2,Month 3,87.94905912,2.044964194,37.46306536
Bombo,AM,M,Hour 1,Month 3,73.42578058,3.02403639,25.30714779
Bombo,AM,M,Hour 3,Month 1,90.7611049,2.07385047,44.98848972
Bombo,AM,M,Hour 3,Month 1,82.87528828,2.316062029,66.60274171
Bombo,AM,M,Hour 1,Month 3,73.40712965,3.518079634,45.27954211
Bombo,AM,M,Hour 1,Month 3,109.8008577,0.144655229,38.76866877
Bombo,AM,M,Hour 1,Month 3,88.85540079,1.908161859,41.1502165
Bombo,AM,M,Hour 1,Month 2,80.76453937,2.390987307,21.08933922
Bombo,AM,M,Hour 1,Month 3,90.77676165,1.880010188,38.53658782
Bombo,AM,M,Hour 1,Month 2,102.4917864,0.972161916,36.15896024
Bombo,AM,M,Hour 3,Month 1,114.917123,0.462545666,37.27946422
Bombo,AM,M,Hour 2,Month 3,95.14938006,1.554503566,34.88061643
Bombo,AM,M,Hour 2,Month 3,96.44485894,1.540999404,33.37901728
Bombo,AM,M,Hour 1,Month 2,71.66259669,3.457391688,37.97026821
Bombo,AM,M,Hour 1,Month 3,83.07812937,2.342714621,44.3296425
Bombo,AM,M,Hour 3,Month 1,79.2301665,2.713936989,27.19194362
Bombo,AM,M,Hour 3,Month 1,80.4863293,2.993197663,54.4314556
Bombo,AM,M,Hour 3,Month 1,88.52372608,2.331580477,28.68504747
Bombo,AM,M,Hour 2,Month 3,74.76360502,3.135301238,27.49333919
Bombo,AM,M,Hour 2,Month 3,67.67339295,3.780029387,43.1963692
Bombo,AM,M,Hour 1,Month 3,91.38063417,1.454209249,43.84139045
Bombo,AM,M,Hour 2,Month 3,74.77649304,2.97234014,49.79007625
Bombo,AM,M,Hour 1,Month 2,77.03593898,2.831690699,51.44790036
Bombo,AM,M,Hour 2,Month 1,73.99945378,3.514908404,43.67399274
Bombo,AM,M,Hour 3,Month 1,103.7527192,0.838367184,58.02367469
Bombo,AM,M,Hour 1,Month 2,92.50298364,1.358157368,47.20011565
Bombo,AM,M,Hour 1,Month 2,71.67867974,3.43839731,32.10637323
Bombo,AM,M,Hour 1,Month 3,96.30300396,1.127592982,40.60672959
Bombo,AM,M,Hour 2,Month 1,98.73081759,1.155375685,37.44582511
Bombo,AM,M,Hour 2,Month 3,75.24814973,2.711142343,24.45977439
Bombo,AM,M,Hour 1,Month 3,86.64873793,1.757119481,50.99276812
Bombo,AM,M,Hour 1,Month 2,74.56836828,2.984688477,47.68529025
Bombo,AM,M,Hour 2,Month 1,82.87484967,2.440159235,45.33755602
Bombo,AM,M,Hour 3,Month 1,92.23628806,1.779078899,52.97996937
Bombo,AM,M,Hour 1,Month 2,76.24696786,3.283636616,56.40840924
Bombo,AM,M,Hour 1,Month 3,53.58385183,4.771003877,0.065417571
Bombo,AM,M,Hour 1,Month 3,82.41698942,2.597127994,44.14702448
Bombo,AM,M,Hour 1,Month 2,99.57415219,0.826593198,59.24382017
Bombo,AM,M,Hour 1,Month 2,81.34020344,2.416827121,37.00067552
Bombo,AM,M,Hour 2,Month 3,106.6878606,0.296065836,46.30422132
