"","Comment","Age","...3","Sex","Trap length (m)","Start time","Finish Time","Time (s)","(Mean Speed m/s)","(Mean Speed m/min)","Pedestrian Density (Peds/m2)","Pedestrian Density (Peds/m2) b","Pedestrian Flow (peds/m/s)","Pedestrian Flow (peds/m/min)"
"1",NA,"Adult",142,"F",4.2,22.971,27.223,4.252,0.987770460959549,59.2662276575729,6,0.476190476190476,31,41.3333333333333
"2",NA,"Adult",51,"M",4.2,22.918,25.695,2.777,1.512423478574,90.74540871444,2,0.158730158730159,28,37.3333333333333
"3",NA,"Adult",209,"M",4.2,34.051,37.302,3.251,1.29191018148262,77.5146108889573,4,0.317460317460317,34,45.3333333333333
"4",NA,"Adult",219,"F",4.2,4.37,7.626,3.256,1.28992628992629,77.3955773955774,4,0.317460317460317,34,45.3333333333333
"5",NA,"Adult",221,"F",4.2,4.632,7.634,3.002,1.39906728847435,83.944037308461,3,0.238095238095238,34,45.3333333333333
"6",NA,"Adult",152,"M",4.2,41.644,44.145,2.501,1.67932826869252,100.759696121551,1,0.0793650793650794,31,41.3333333333333
"7",NA,"Adult",315,"M",4.2,32.996,35.997,3.001,1.39953348883706,83.9720093302233,3,0.238095238095238,29,38.6666666666667
"8",NA,"Adult",93,"F",4.2,53.707,57.201,3.494,1.20206067544362,72.1236405266171,4,0.317460317460317,36,48
"9",NA,"Adult",75,"M",4.2,52.172,55.171,2.999,1.40046682227409,84.0280093364454,3,0.238095238095238,30,40
"10",NA,"Adult",357,"F",4.2,1.207,4.701,3.494,1.20206067544362,72.1236405266171,4,0.317460317460317,20,26.6666666666667
"11",NA,"Adult",217,"M",4.2,57.977,60.477,2.5,1.68,100.8,1,0.0793650793650794,34,45.3333333333333
"12",NA,"Adult",259,"M",4.2,11.518,14.517,2.999,1.40046682227409,84.0280093364455,3,0.238095238095238,44,58.6666666666667
"13",NA,"Adult",86,"M",4.2,10.893,14.398,3.505,1.19828815977175,71.8972895863053,4,0.317460317460317,36,48
"14",NA,"Adult",374,"F",4.2,59.287,62.812,3.525,1.19148936170213,71.4893617021277,4,0.317460317460317,19,25.3333333333333
"15",NA,"Adult",38,"M",4.2,29.116,32.367,3.251,1.29191018148262,77.5146108889573,4,0.317460317460317,22,29.3333333333333
"16",NA,"Adult",103,"M",4.2,36.514,39.763,3.249,1.2927054478301,77.5623268698062,4,0.317460317460317,36,48
"17",NA,"Adult",355,"F",4.2,46.463,49.203,2.74,1.53284671532847,91.970802919708,2,0.158730158730159,20,26.6666666666667
"18",NA,"Adult",267,"F",4.2,22.019,26.269,4.25,0.988235294117647,59.2941176470588,6,0.476190476190476,44,58.6666666666667
"19",NA,"Adult",40,"M",4.2,55.619,58.869,3.25,1.29230769230769,77.5384615384615,4,0.317460317460317,22,29.3333333333333
"20",NA,"Adult",295,"F",4.2,2.855,6.125,3.27,1.28440366972477,77.0642201834862,4,0.317460317460317,21,28
"21",NA,"Adult",287,"M",4.2,56.579,59.079,2.5,1.68,100.8,1,0.0793650793650794,44,58.6666666666667
"22",NA,"Adult",258,"M",4.2,8.015,10.518,2.503,1.67798641630044,100.679184978026,1,0.0793650793650794,44,58.6666666666667
"23",NA,"Adult",213,"M",4.2,50.945,54.212,3.267,1.28558310376492,77.1349862258952,4,0.317460317460317,34,45.3333333333333
"24",NA,"Adult",329,"M",4.2,46.049,49.797,3.748,1.12059765208111,67.2358591248666,5,0.396825396825397,29,38.6666666666667
"25",NA,"Adult",12,"F",4.2,51.176,54.43,3.254,1.29071911493546,77.4431468961279,4,0.317460317460317,22,29.3333333333333
"26",NA,"Adult",260,"M",4.2,29.268,32.019,2.751,1.52671755725191,91.6030534351146,2,0.158730158730159,44,58.6666666666667
"27",NA,"Adult",14,"M",4.2,55.617,57.865,2.248,1.86832740213523,112.099644128114,1,0.0793650793650794,22,29.3333333333333
"28",NA,"Adult",141,"F",4.2,17.845,21.343,3.498,1.20068610634648,72.041166380789,4,0.317460317460317,31,41.3333333333333
"29",NA,"Adult",192,"M",4.2,30.595,33.355,2.76,1.52173913043478,91.304347826087,2,0.158730158730159,35,46.6666666666667
"30",NA,"Adult",148,"F",4.2,11.858,15.856,3.998,1.05052526263132,63.031515757879,5,0.396825396825397,31,41.3333333333333
