Walk_Speed,Sex,Walkway_width_category
112.0996441,Male,Bombo
111.9005329,Male,Bombo
111.8508655,Male,Bombo
104.9562682,Male,Bombo
101.5310234,Male,Bombo
100.9211053,Male,Bombo
100.8807046,Male,Bombo
100.8807046,Male,Bombo
100.8807046,Male,Bombo
100.8807046,Male,Bombo
100.8403361,Male,Bombo
100.8403361,Male,Bombo
100.8403361,Male,Bombo
100.8403361,Male,Bombo
100.8,Male,Bombo
100.8,Male,Bombo
100.8,Male,Bombo
100.8,Male,Bombo
100.8,Male,Bombo
100.7596961,Male,Bombo
100.7596961,Male,Bombo
100.7596961,Male,Bombo
100.7596961,Male,Bombo
100.7596961,Male,Bombo
100.7596961,Male,Bombo
100.679185,Male,Bombo
100.679185,Male,Bombo
100.6389776,Male,Bombo
100.6389776,Male,Bombo
100.5988024,Male,Bombo
100.5185481,Male,Bombo
100.2785515,Male,Bombo
99.88109394,Male,Bombo
99.72299169,Male,Bombo
99.6835443,Male,Bombo
99.21259843,Male,Bombo
97.14726291,Male,Bombo
92.44314013,Male,Bombo
92.40924092,Male,Bombo
92.07161125,Male,Bombo
91.80327869,Male,Bombo
91.80327869,Male,Bombo
91.80327869,Male,Bombo
91.73643975,Male,Bombo
91.73643975,Male,Bombo
91.73643975,Male,Bombo
91.70305677,Male,Bombo
91.70305677,Male,Bombo
91.66969807,Male,Bombo
91.66969807,Male,Bombo
91.63636364,Male,Bombo
91.63636364,Male,Bombo
91.63636364,Male,Bombo
91.63636364,Male,Bombo
91.63636364,Male,Bombo
91.63636364,Male,Bombo
91.60305344,Male,Bombo
91.60305344,Male,Bombo
91.56976744,Male,Bombo
91.56976744,Male,Bombo
91.56976744,Male,Bombo
91.56976744,Male,Bombo
91.53650563,Male,Bombo
91.53650563,Male,Bombo
91.50326797,Male,Bombo
91.50326797,Male,Bombo
91.50326797,Male,Bombo
91.43686502,Male,Bombo
91.40369967,Male,Bombo
91.30434783,Male,Bombo
91.27127852,Male,Bombo
90.74540871,Male,Bombo
90.68010076,Male,Bombo
87.98882682,Male,Bombo
87.86610879,Male,Bombo
86.18331053,Male,Bombo
85.97748209,Male,Bombo
84.70588235,Male,Bombo
84.62055071,Male,Bombo
84.56375839,Male,Bombo
84.42211055,Male,Bombo
84.11214953,Male,Bombo
84.11214953,Male,Bombo
84.05603736,Male,Bombo
84.05603736,Male,Bombo
84.05603736,Male,Bombo
84.05603736,Male,Bombo
84.05603736,Male,Bombo
84.05603736,Male,Bombo
84.05603736,Male,Bombo
84.05603736,Male,Bombo
84.02800934,Male,Bombo
84.02800934,Male,Bombo
84.02800934,Male,Bombo
84.02800934,Male,Bombo
84.02800934,Male,Bombo
84.02800934,Male,Bombo
84.02800934,Male,Bombo
